Sep 11 11:15:06 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:15:06.284360     207 status_manager.go:1041] "Failed to update status for pod" err="failed to patch status \"{\\\"metadata\\\":{\\\"uid\\\":\\\"f650fb38-9d8d-43fb-a866-f6ddd949584d\\\"},\\\"status\\\":{\\\"$setElementOrder/conditions\\\":[{\\\"type\\\":\\\"PodReadyToStartContainers\\\"},{\\\"type\\\":\\\"Initialized\\\"},{\\\"type\\\":\\\"Ready\\\"},{\\\"type\\\":\\\"ContainersReady\\\"},{\\\"type\\\":\\\"PodScheduled\\\"}],\\\"conditions\\\":[{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"PodReadyToStartContainers\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"Initialized\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"Ready\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"ContainersReady\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"PodScheduled\\\"}],\\\"observedGeneration\\\":2}}\" for pod \"pdf-checkpoint-prototype\"/\"worker-869b5b7865-f4x6x\": pods \"worker-869b5b7865-f4x6x\" not found" pod="pdf-checkpoint-prototype/worker-869b5b7865-f4x6x"
Sep 11 11:15:06 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:15:06.294149     207 status_manager.go:1018] "Failed to get status for pod" err="pods \"worker-869b5b7865-f4x6x\" is forbidden: User \"system:node:internal-a2a-vs6-local-worker2\" cannot get resource \"pods\" in API group \"\" in the namespace \"pdf-checkpoint-prototype\": no relationship found between node 'internal-a2a-vs6-local-worker2' and this object" podUID="f650fb38-9d8d-43fb-a866-f6ddd949584d" pod="pdf-checkpoint-prototype/worker-869b5b7865-f4x6x"
Sep 11 11:15:06 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:15:06.318602     207 reconciler_common.go:251] "operationExecutor.VerifyControllerAttachedVolume started for volume \"kube-api-access-w7ggm\" (UniqueName: \"kubernetes.io/projected/93b71b00-cfd1-41ef-9504-b730f0a61b05-kube-api-access-w7ggm\") pod \"worker-869b5b7865-7qvdx\" (UID: \"93b71b00-cfd1-41ef-9504-b730f0a61b05\") " pod="pdf-checkpoint-prototype/worker-869b5b7865-7qvdx"
Sep 11 11:15:07 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:15:07.551607     207 status_manager.go:1018] "Failed to get status for pod" err="pods \"worker-869b5b7865-f4x6x\" is forbidden: User \"system:node:internal-a2a-vs6-local-worker2\" cannot get resource \"pods\" in API group \"\" in the namespace \"pdf-checkpoint-prototype\": no relationship found between node 'internal-a2a-vs6-local-worker2' and this object" podUID="f650fb38-9d8d-43fb-a866-f6ddd949584d" pod="pdf-checkpoint-prototype/worker-869b5b7865-f4x6x"
Sep 11 11:15:08 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:15:08.665883     207 reconciler_common.go:163] "operationExecutor.UnmountVolume started for volume \"kube-api-access-v9cw9\" (UniqueName: \"kubernetes.io/projected/f650fb38-9d8d-43fb-a866-f6ddd949584d-kube-api-access-v9cw9\") pod \"f650fb38-9d8d-43fb-a866-f6ddd949584d\" (UID: \"f650fb38-9d8d-43fb-a866-f6ddd949584d\") "
Sep 11 11:15:08 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:15:08.667816     207 operation_generator.go:781] UnmountVolume.TearDown succeeded for volume "kubernetes.io/projected/f650fb38-9d8d-43fb-a866-f6ddd949584d-kube-api-access-v9cw9" (OuterVolumeSpecName: "kube-api-access-v9cw9") pod "f650fb38-9d8d-43fb-a866-f6ddd949584d" (UID: "f650fb38-9d8d-43fb-a866-f6ddd949584d"). InnerVolumeSpecName "kube-api-access-v9cw9". PluginName "kubernetes.io/projected", VolumeGIDValue ""
Sep 11 11:15:08 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:15:08.776592     207 reconciler_common.go:299] "Volume detached for volume \"kube-api-access-v9cw9\" (UniqueName: \"kubernetes.io/projected/f650fb38-9d8d-43fb-a866-f6ddd949584d-kube-api-access-v9cw9\") on node \"internal-a2a-vs6-local-worker2\" DevicePath \"\""
Sep 11 11:15:08 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:15:08.851211     207 status_manager.go:1018] "Failed to get status for pod" err="pods \"worker-869b5b7865-f4x6x\" is forbidden: User \"system:node:internal-a2a-vs6-local-worker2\" cannot get resource \"pods\" in API group \"\" in the namespace \"pdf-checkpoint-prototype\": no relationship found between node 'internal-a2a-vs6-local-worker2' and this object" podUID="f650fb38-9d8d-43fb-a866-f6ddd949584d" pod="pdf-checkpoint-prototype/worker-869b5b7865-f4x6x"
Sep 11 11:15:09 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:15:09.976866     207 kubelet_volumes.go:163] "Cleaned up orphaned pod volumes dir" podUID="f650fb38-9d8d-43fb-a866-f6ddd949584d" path="/var/lib/kubelet/pods/f650fb38-9d8d-43fb-a866-f6ddd949584d/volumes"
Sep 11 11:16:02 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:16:02.572474     207 status_manager.go:1041] "Failed to update status for pod" err="failed to patch status \"{\\\"metadata\\\":{\\\"uid\\\":\\\"93b71b00-cfd1-41ef-9504-b730f0a61b05\\\"},\\\"status\\\":{\\\"$setElementOrder/conditions\\\":[{\\\"type\\\":\\\"PodReadyToStartContainers\\\"},{\\\"type\\\":\\\"Initialized\\\"},{\\\"type\\\":\\\"Ready\\\"},{\\\"type\\\":\\\"ContainersReady\\\"},{\\\"type\\\":\\\"PodScheduled\\\"}],\\\"conditions\\\":[{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"PodReadyToStartContainers\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"Initialized\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"Ready\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"ContainersReady\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"PodScheduled\\\"}],\\\"observedGeneration\\\":2}}\" for pod \"pdf-checkpoint-prototype\"/\"worker-869b5b7865-7qvdx\": pods \"worker-869b5b7865-7qvdx\" not found" pod="pdf-checkpoint-prototype/worker-869b5b7865-7qvdx"
